Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer,Remark
42.04,0.285,226.93,6.66,29.47,36.95,60.43,0.92,Clay Soil,Potato,Compost,Recommended
25.49,0.872,223.26,6.61,53.26,54.32,90.32,2.24,Sandy Soil,Rice,Compost,Recommended
25.09,0.429,209.34,6.65,21.77,95.61,110.56,1.74,Acidic Soil,Sugarcane,Compost,Recommended
30.98,0.886,202.46,5.73,81.18,74.31,120.49,2.88,Loamy Soil,Rice,Compost,Recommended
35.28,0.8,234.65,6.32,90.85,37.75,112.9,2.7,Peaty Soil,Rice,Compost,Recommended
33.39,0.785,264.28,7.19,58.81,46.69,122.9,1.63,Clay Soil,Maize,Compost,Recommended
41.37,0.818,193.26,5.65,51.03,84.28,137.23,1.01,Peaty Soil,Rice,Compost,Recommended
38.58,0.794,209.12,7.46,56.04,61.07,148.6,1.08,Acidic Soil,Maize,Compost,Recommended
21.07,0.512,114.0,6.96,68.67,76.53,68.68,1.42,Clay Soil,Wheat,Compost,Recommended
28.75,0.851,175.85,7.16,87.39,49.86,102.16,0.74,Loamy Soil,Cotton,Compost,Recommended
39.16,0.609,256.39,7.0,84.24,61.44,38.24,2.18,Peaty Soil,Sugarcane,Compost,Recommended
29.67,0.664,169.39,6.28,32.69,40.66,98.7,1.58,Sandy Soil,Cotton,Compost,Recommended
41.31,0.579,251.65,6.11,53.2,77.02,70.21,1.97,Loamy Soil,Sugarcane,Compost,Recommended
25.37,0.497,281.57,6.51,35.03,26.16,110.5,1.46,Sandy Soil,Wheat,Compost,Recommended
43.96,0.502,209.87,6.57,70.94,79.86,49.26,1.82,Peaty Soil,Sugarcane,Compost,Recommended
37.37,0.353,219.06,6.03,72.96,85.2,121.14,2.4,Peaty Soil,Wheat,Compost,Recommended
37.47,0.458,186.47,5.56,40.77,22.69,134.29,1.11,Acidic Soil,Cotton,Compost,Recommended
20.97,0.667,164.61,7.3,91.05,46.02,137.12,2.99,Sandy Soil,Wheat,Compost,Recommended
38.7,0.769,241.37,7.43,86.13,92.25,141.36,2.5,Acidic Soil,Wheat,Compost,Recommended
20.14,0.526,214.23,6.11,45.45,96.89,135.92,2.62,Clay Soil,Potato,Compost,Recommended
27.82,0.658,146.4,5.53,81.15,69.9,119.1,0.6,Clay Soil,Wheat,Compost,Recommended
34.08,0.637,272.89,6.67,66.48,99.25,118.37,1.61,Sandy Soil,Sugarcane,Compost,Recommended
29.73,0.36,219.37,7.36,94.33,47.35,88.6,1.03,Clay Soil,Sugarcane,Compost,Recommended
44.53,0.655,260.88,6.93,67.45,24.27,79.12,2.19,Sandy Soil,Maize,Compost,Recommended
24.18,0.55,238.18,6.89,71.89,42.02,40.31,2.09,Peaty Soil,Rice,Compost,Recommended
24.48,0.694,191.03,6.84,86.99,33.58,22.49,2.45,Clay Soil,Maize,Compost,Recommended
31.34,0.518,237.14,7.32,71.12,96.28,134.61,1.96,Loamy Soil,Potato,Compost,Recommended
36.06,0.255,248.11,5.69,67.53,76.21,28.65,1.08,Loamy Soil,Cotton,Compost,Recommended
42.02,0.818,231.81,5.92,89.04,90.89,45.56,2.34,Loamy Soil,Maize,Compost,Recommended
25.01,0.351,238.24,6.71,69.52,95.26,120.87,0.82,Peaty Soil,Sugarcane,Compost,Recommended
44.38,0.772,270.51,7.38,26.81,50.85,29.23,1.03,Sandy Soil,Maize,Compost,Recommended
31.73,0.388,120.2,5.83,31.78,97.85,118.71,2.92,Peaty Soil,Maize,Compost,Recommended
28.16,0.41,146.5,5.76,40.52,48.43,107.62,0.66,Acidic Soil,Wheat,Compost,Recommended
40.23,0.303,168.53,7.23,32.39,26.62,82.99,1.26,Peaty Soil,Potato,Compost,Recommended
40.1,0.296,216.14,6.51,31.53,69.92,55.57,1.72,Loamy Soil,Rice,Compost,Recommended
31.49,0.415,264.48,5.61,53.49,56.67,114.25,1.94,Clay Soil,Cotton,Compost,Recommended
39.43,0.804,162.78,6.58,87.21,99.16,135.64,1.43,Clay Soil,Sugarcane,Compost,Recommended
32.23,0.719,198.51,6.47,87.06,48.91,131.77,1.52,Peaty Soil,Maize,Compost,Recommended
39.06,0.288,139.28,7.4,34.04,65.42,95.31,1.72,Peaty Soil,Cotton,Compost,Recommended
33.82,0.461,232.33,5.78,65.67,34.82,56.22,1.05,Acidic Soil,Potato,Compost,Recommended
40.64,0.4,285.42,7.44,65.7,31.44,68.69,2.49,Clay Soil,Maize,Compost,Recommended
28.44,0.711,214.64,6.18,99.08,22.02,52.84,1.8,Peaty Soil,Potato,Compost,Recommended
38.79,0.636,220.06,5.61,50.12,38.56,54.5,1.89,Acidic Soil,Rice,Compost,Recommended
27.35,0.366,289.7,7.39,68.8,93.96,122.16,1.97,Acidic Soil,Rice,Compost,Recommended
39.31,0.692,223.05,7.02,61.03,76.33,141.57,1.44,Sandy Soil,Sugarcane,Compost,Recommended
36.86,0.734,109.09,6.79,38.14,73.6,80.88,2.43,Acidic Soil,Cotton,Compost,Recommended
26.96,0.797,285.68,7.49,83.68,80.3,48.02,1.34,Peaty Soil,Rice,Compost,Recommended
39.33,0.84,137.83,7.34,75.65,68.86,45.98,0.64,Clay Soil,Rice,Compost,Recommended
25.27,0.59,271.3,7.17,94.19,49.27,61.35,2.37,Clay Soil,Potato,Compost,Recommended
22.19,0.398,183.72,6.09,46.58,43.5,25.39,2.09,Clay Soil,Rice,Compost,Recommended
36.33,0.335,159.13,6.74,67.97,60.51,65.55,2.78,Peaty Soil,Wheat,Compost,Recommended
31.39,0.675,208.6,6.19,54.85,83.56,56.16,0.86,Clay Soil,Cotton,Compost,Recommended
26.53,0.44,266.91,7.37,34.86,49.8,140.72,0.65,Loamy Soil,Cotton,Compost,Recommended
26.82,0.439,189.76,7.33,35.15,20.4,27.81,2.76,Peaty Soil,Wheat,Compost,Recommended
24.43,0.406,122.96,7.38,82.74,56.99,132.45,1.12,Sandy Soil,Wheat,Compost,Recommended
42.39,0.836,162.78,6.88,41.73,35.25,44.0,1.36,Loamy Soil,Cotton,Compost,Recommended
40.77,0.284,246.99,6.56,43.04,59.43,58.99,1.99,Loamy Soil,Sugarcane,Compost,Recommended
34.59,0.473,171.03,5.59,37.43,21.21,95.58,0.76,Clay Soil,Potato,Compost,Recommended
33.08,0.69,182.17,6.62,95.41,26.62,53.01,2.45,Sandy Soil,Sugarcane,Compost,Recommended
21.89,0.453,118.43,6.67,38.1,91.66,121.86,2.25,Clay Soil,Potato,Compost,Recommended
41.59,0.356,274.62,7.08,79.85,64.9,52.01,1.56,Loamy Soil,Wheat,Compost,Recommended
30.78,0.443,110.07,5.61,75.36,56.63,49.45,2.03,Loamy Soil,Rice,Compost,Recommended
34.44,0.451,264.71,7.14,58.19,48.07,67.13,2.51,Loamy Soil,Potato,Compost,Recommended
25.23,0.259,193.34,6.46,87.27,37.7,69.53,2.52,Acidic Soil,Maize,Compost,Recommended
39.54,0.393,140.85,5.53,74.34,26.13,74.7,2.0,Acidic Soil,Wheat,Compost,Recommended
30.19,0.313,231.28,7.44,64.98,77.18,28.9,1.54,Clay Soil,Maize,Compost,Recommended
21.1,0.685,229.65,5.96,74.51,95.21,26.08,1.3,Acidic Soil,Rice,Compost,Recommended
42.48,0.874,188.82,7.0,62.53,63.02,56.15,1.04,Peaty Soil,Maize,Compost,Recommended
20.73,0.835,131.26,5.94,61.46,76.81,32.44,1.29,Clay Soil,Rice,Compost,Recommended
27.83,0.786,110.04,6.43,50.37,45.33,57.14,0.73,Sandy Soil,Wheat,Compost,Recommended
36.94,0.5,246.3,7.15,31.71,86.63,90.24,2.61,Peaty Soil,Cotton,Compost,Recommended
39.2,0.55,186.75,6.0,63.8,41.95,137.21,1.04,Clay Soil,Maize,Compost,Recommended
40.71,0.699,239.34,6.15,38.71,36.87,131.43,2.55,Clay Soil,Potato,Compost,Recommended
23.31,0.468,223.87,6.41,82.42,99.81,44.85,1.65,Sandy Soil,Rice,Ammonium Sulphate,Recommended
27.61,0.339,113.14,7.27,53.59,59.75,139.2,2.44,Sandy Soil,Sugarcane,Ammonium Sulphate,Recommended
34.14,0.51,259.44,6.95,75.23,47.24,124.65,0.63,Clay Soil,Cotton,Ammonium Sulphate,Recommended
28.39,0.254,147.0,7.16,95.86,44.37,54.39,1.2,Sandy Soil,Cotton,Ammonium Sulphate,Recommended
20.9,0.849,142.74,6.34,20.77,88.64,115.05,2.87,Loamy Soil,Cotton,Ammonium Sulphate,Recommended
27.84,0.374,239.54,6.23,65.3,20.5,28.05,1.84,Peaty Soil,Cotton,Ammonium Sulphate,Recommended
30.26,0.314,144.36,6.14,40.75,27.01,31.69,0.98,Acidic Soil,Cotton,Ammonium Sulphate,Recommended
27.18,0.396,166.4,6.83,89.65,80.73,114.58,1.71,Peaty Soil,Maize,Ammonium Sulphate,Recommended
25.41,0.346,159.28,7.32,63.79,78.71,65.05,1.52,Sandy Soil,Sugarcane,Ammonium Sulphate,Recommended
40.68,0.609,167.51,7.11,39.72,98.08,64.83,1.34,Peaty Soil,Rice,Ammonium Sulphate,Recommended
25.75,0.488,148.11,6.84,86.09,73.85,127.17,1.49,Peaty Soil,Potato,Ammonium Sulphate,Recommended
33.38,0.257,106.99,7.48,22.4,55.56,85.6,0.79,Sandy Soil,Potato,Ammonium Sulphate,Recommended
28.8,0.733,201.42,6.78,98.81,81.44,76.47,1.62,Sandy Soil,Cotton,Ammonium Sulphate,Recommended
36.63,0.55,228.97,5.55,54.37,42.32,36.79,0.75,Sandy Soil,Wheat,Ammonium Sulphate,Recommended
26.34,0.53,198.45,5.89,72.17,82.47,122.89,2.01,Peaty Soil,Cotton,Ammonium Sulphate,Recommended
21.53,0.401,118.65,7.43,30.81,32.14,135.64,2.86,Loamy Soil,Wheat,Ammonium Sulphate,Recommended
34.38,0.5,155.18,7.04,38.1,75.39,50.33,2.06,Loamy Soil,Potato,Ammonium Sulphate,Recommended
25.47,0.242,126.19,6.71,87.96,23.6,115.44,1.35,Sandy Soil,Rice,Ammonium Sulphate,Recommended
43.22,0.432,193.07,5.53,26.53,40.69,23.62,2.08,Loamy Soil,Maize,Ammonium Sulphate,Recommended
33.7,0.322,159.19,6.83,97.22,24.03,135.75,1.94,Acidic Soil,Sugarcane,Ammonium Sulphate,Recommended
21.73,0.263,220.18,6.18,93.38,52.53,38.63,2.29,Peaty Soil,Potato,Ammonium Sulphate,Recommended
33.14,0.688,280.05,7.08,74.11,74.37,142.97,1.24,Acidic Soil,Maize,Ammonium Sulphate,Recommended
22.04,0.847,165.16,5.76,55.39,23.4,109.0,2.76,Acidic Soil,Potato,Ammonium Sulphate,Recommended
23.36,0.266,266.3,7.34,71.98,28.27,72.26,2.32,Clay Soil,Potato,Ammonium Sulphate,Recommended
22.96,0.2,242.43,6.21,40.36,21.03,90.24,2.63,Clay Soil,Cotton,Ammonium Sulphate,Recommended
34.14,0.56,117.01,6.6,50.4,68.57,70.53,1.1,Loamy Soil,Cotton,Ammonium Sulphate,Recommended
23.45,0.257,265.94,7.45,52.38,27.01,28.56,2.73,Clay Soil,Rice,Ammonium Sulphate,Recommended
28.0,0.534,163.66,6.48,88.76,67.38,110.3,1.41,Peaty Soil,Maize,Ammonium Sulphate,Recommended
36.67,0.284,214.53,6.01,84.33,54.08,149.31,0.73,Clay Soil,Sugarcane,Ammonium Sulphate,Recommended
36.84,0.737,161.51,6.48,83.72,38.6,49.38,1.88,Sandy Soil,Maize,Ammonium Sulphate,Recommended
31.96,0.61,208.27,5.67,24.56,28.44,96.13,1.86,Clay Soil,Wheat,Ammonium Sulphate,Recommended
27.39,0.853,204.64,6.04,51.93,67.89,104.88,0.88,Clay Soil,Maize,Ammonium Sulphate,Recommended
23.39,0.826,114.93,7.32,99.73,76.03,120.16,1.34,Clay Soil,Sugarcane,Ammonium Sulphate,Recommended
33.24,0.713,284.82,7.45,86.66,44.24,145.65,2.07,Loamy Soil,Potato,Ammonium Sulphate,Recommended
27.68,0.459,210.09,7.08,45.44,66.38,64.93,2.54,Acidic Soil,Maize,Ammonium Sulphate,Recommended
21.92,0.316,112.22,6.5,28.51,29.13,142.34,2.68,Loamy Soil,Maize,Ammonium Sulphate,Recommended
20.0,0.63,223.29,6.41,51.76,56.43,73.94,2.33,Loamy Soil,Wheat,Ammonium Sulphate,Recommended
24.94,0.326,152.49,6.55,28.9,89.45,58.66,0.91,Peaty Soil,Wheat,Ammonium Sulphate,Recommended
20.95,0.634,239.64,5.93,23.36,49.09,32.82,0.79,Clay Soil,Cotton,Ammonium Sulphate,Recommended
33.51,0.255,213.17,7.32,51.71,43.71,38.65,0.88,Clay Soil,Cotton,Ammonium Sulphate,Recommended
35.36,0.567,163.82,6.44,60.2,36.06,60.95,2.48,Peaty Soil,Potato,Ammonium Sulphate,Recommended
28.99,0.415,139.04,6.86,45.85,99.02,62.34,1.49,Peaty Soil,Potato,Ammonium Sulphate,Recommended
31.74,0.496,299.13,5.52,91.61,31.93,122.17,2.04,Loamy Soil,Potato,Ammonium Sulphate,Recommended
22.15,0.77,156.07,5.76,55.19,71.52,69.52,0.64,Clay Soil,Maize,Ammonium Sulphate,Recommended
31.48,0.726,281.11,7.17,35.75,55.29,45.92,1.16,Sandy Soil,Sugarcane,Ammonium Sulphate,Recommended
21.7,0.353,287.08,6.43,55.63,21.17,52.16,2.67,Peaty Soil,Cotton,Ammonium Sulphate,Recommended
20.36,0.535,104.2,7.14,85.99,83.02,56.84,2.59,Clay Soil,Wheat,Ammonium Sulphate,Recommended
22.0,0.509,132.67,5.87,36.18,50.94,26.65,1.49,Acidic Soil,Sugarcane,Ammonium Sulphate,Recommended
32.08,0.468,267.83,5.79,60.46,24.96,29.25,1.93,Acidic Soil,Maize,Ammonium Sulphate,Recommended
41.95,0.591,291.96,5.6,27.84,23.53,44.09,1.85,Acidic Soil,Cotton,Ammonium Sulphate,Recommended
21.14,0.862,268.43,6.09,26.18,33.59,36.5,0.81,Loamy Soil,Cotton,Ammonium Sulphate,Recommended
28.95,0.893,236.86,7.4,31.4,50.57,92.12,0.69,Peaty Soil,Rice,Ammonium Sulphate,Recommended
21.39,0.432,253.19,6.33,72.24,66.37,22.89,2.97,Clay Soil,Wheat,Ammonium Sulphate,Recommended
34.98,0.71,163.07,6.29,38.95,27.76,43.27,2.49,Sandy Soil,Wheat,Ammonium Sulphate,Recommended
33.67,0.533,284.49,5.65,42.45,48.0,121.72,2.98,Acidic Soil,Wheat,Ammonium Sulphate,Recommended
41.86,0.781,144.93,6.3,52.77,98.26,43.52,2.5,Sandy Soil,Cotton,Ammonium Sulphate,Recommended
38.27,0.494,215.67,7.17,84.33,89.31,27.75,2.23,Sandy Soil,Maize,Ammonium Sulphate,Recommended
31.49,0.673,223.72,6.64,24.73,70.62,119.96,2.99,Peaty Soil,Potato,Ammonium Sulphate,Recommended
41.99,0.835,298.31,5.92,48.44,73.54,82.89,1.55,Acidic Soil,Maize,Ammonium Sulphate,Recommended
28.75,0.371,231.18,5.9,45.2,37.97,28.99,2.57,Clay Soil,Wheat,Ammonium Sulphate,Recommended
31.83,0.23,239.87,6.16,79.58,52.99,45.45,1.78,Acidic Soil,Sugarcane,Ammonium Sulphate,Recommended
31.01,0.422,282.39,5.62,75.52,34.62,61.48,1.54,Clay Soil,Rice,Ammonium Sulphate,Recommended
26.06,0.264,163.74,5.71,30.29,65.91,27.92,0.58,Loamy Soil,Cotton,Ammonium Sulphate,Recommended
30.18,0.565,279.31,5.89,21.81,88.93,95.03,2.73,Sandy Soil,Sugarcane,Ammonium Sulphate,Recommended
40.25,0.501,249.97,7.33,65.77,34.46,54.94,1.0,Sandy Soil,Wheat,Ammonium Sulphate,Recommended
30.9,0.616,217.93,5.63,86.52,34.19,114.0,2.43,Loamy Soil,Cotton,Ammonium Sulphate,Recommended
34.47,0.21,172.08,6.71,51.0,89.08,60.14,1.23,Loamy Soil,Maize,Ammonium Sulphate,Recommended
33.94,0.695,232.51,7.12,90.87,85.29,22.46,2.34,Acidic Soil,Rice,Ammonium Sulphate,Recommended
41.99,0.234,146.22,7.29,40.5,37.65,37.96,2.65,Acidic Soil,Cotton,Ammonium Sulphate,Recommended
28.91,0.838,108.06,6.52,74.44,94.54,100.65,2.51,Acidic Soil,Sugarcane,Ammonium Sulphate,Recommended
27.58,0.747,253.17,6.88,97.25,51.48,36.99,2.18,Acidic Soil,Wheat,Ammonium Sulphate,Recommended
34.38,0.345,200.89,6.12,54.2,71.62,116.88,1.08,Clay Soil,Cotton,Ammonium Sulphate,Recommended
26.73,0.339,256.68,7.32,49.62,80.1,136.61,2.62,Loamy Soil,Maize,Ammonium Sulphate,Recommended
43.91,0.464,167.85,5.62,58.89,28.72,52.31,1.29,Peaty Soil,Maize,Ammonium Sulphate,Recommended
41.89,0.412,271.74,7.21,81.17,31.74,109.74,2.86,Acidic Soil,Potato,Ammonium Sulphate,Recommended
28.29,0.55,229.15,6.52,29.6,44.97,124.31,2.65,Clay Soil,Wheat,Ammonium Sulphate,Recommended
22.11,0.678,147.12,7.39,89.7,43.16,121.82,2.51,Acidic Soil,Rice,Ammonium Sulphate,Recommended
34.95,0.257,229.37,6.75,71.07,44.57,131.76,2.9,Peaty Soil,Rice,Ammonium Sulphate,Recommended
40.51,0.674,227.21,6.3,66.23,44.63,82.04,2.48,Clay Soil,Cotton,Ammonium Sulphate,Recommended
43.35,0.482,193.76,6.91,93.78,31.36,59.55,0.85,Sandy Soil,Wheat,Ammonium Sulphate,Recommended
27.66,0.428,114.18,6.2,89.0,38.65,110.37,2.07,Acidic Soil,Rice,Ammonium Sulphate,Recommended
23.31,0.884,216.53,7.49,92.92,37.72,27.3,1.14,Loamy Soil,Sugarcane,Ammonium Sulphate,Recommended
33.01,0.508,275.98,6.51,60.62,31.07,147.76,1.12,Loamy Soil,Sugarcane,Ammonium Sulphate,Recommended
